Timestamp,Receiver,Signal,Station.name,Latitude,Longitude
2022/11/03 19:23,VR2W-126438,A69-1602-14010,Mutiaur 2,7.27534,134.1874
2022/11/03 19:26,VR2W-126438,A69-1602-14010,Mutiaur 2,7.27534,134.1874
2022/11/03 19:38,VR2W-126438,A69-1602-14010,Mutiaur 2,7.27534,134.1874
2022/11/03 19:42,VR2W-126443,A69-1602-14010,Mutiaur 6,7.27462,134.1895
2022/11/03 19:44,VR2W-126443,A69-1602-14010,Mutiaur 6,7.27462,134.1895
2022/11/03 19:46,VR2W-126443,A69-1602-14010,Mutiaur 6,7.27462,134.1895
2022/11/03 19:47,VR2W-126443,A69-1602-14010,Mutiaur 6,7.27462,134.1895
2022/11/03 19:49,VR2W-126443,A69-1602-14010,Mutiaur 6,7.27462,134.1895
2022/11/03 19:51,VR2W-126443,A69-1602-14010,Mutiaur 6,7.27462,134.1895
2022/11/03 19:56,VR2W-126443,A69-1602-14010,Mutiaur 6,7.27462,134.1895
2022/11/03 19:58,VR2W-126443,A69-1602-14010,Mutiaur 6,7.27462,134.1895
2022/11/03 20:00,VR2W-126443,A69-1602-14010,Mutiaur 6,7.27462,134.1895
2022/11/03 20:05,VR2W-126443,A69-1602-14010,Mutiaur 6,7.27462,134.1895
2022/11/03 20:06,VR2W-126443,A69-1602-14010,Mutiaur 6,7.27462,134.1895
2022/11/03 20:08,VR2W-126443,A69-1602-14010,Mutiaur 6,7.27462,134.1895
2022/11/03 20:10,VR2W-126443,A69-1602-14010,Mutiaur 6,7.27462,134.1895
2022/11/03 20:12,VR2W-126443,A69-1602-14010,Mutiaur 6,7.27462,134.1895
2022/11/03 20:14,VR2W-126443,A69-1602-14010,Mutiaur 6,7.27462,134.1895
2022/11/03 20:15,VR2W-126443,A69-1602-14010,Mutiaur 6,7.27462,134.1895
2022/11/03 20:17,VR2W-126443,A69-1602-14010,Mutiaur 6,7.27462,134.1895
2022/11/03 20:19,VR2W-126443,A69-1602-14010,Mutiaur 6,7.27462,134.1895
2022/11/03 20:21,VR2W-126443,A69-1602-14010,Mutiaur 6,7.27462,134.1895
2022/11/03 20:23,VR2W-126443,A69-1602-14010,Mutiaur 6,7.27462,134.1895
